gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ANKRD32	54375	399	20	7403076	1151064	0	15	1	0	50	16	38974554	1.879604e-04	1.012945e-01
APOH	135537	178	-23	2382282	427050	0	9	0	0	50	21	33918282	2.402834e-04	1.245171e-01
CENPQ	64168	1198	-6	1930266	274626	0	10	0	0	50	31	33016878	2.442546e-04	1.245171e-01
IKZF2	55860	1226	19	3666060	562392	0	9	1	0	50	8	35552898	2.621501e-04	1.301230e-01
LRRTM4	7531	1175	-21	3964338	726642	0	24	3	0	10	17	8081100	2.943139e-04	1.423423e-01
NPHP3	211862	768	24	9163836	1608336	0	14	1	0	18	2	14770674	4.142182e-04	1.953246e-01
TRAF2	1950713	176	39	3413772	649116	0	36	3	0	24	68	21345930	4.459309e-04	2.051499e-01
CIITA	299383	410	38	7412274	1704258	0	24	4	0	25	21	19748106	4.657685e-04	2.091744e-01
EIF2AK3	118199	366	9	7546302	1428318	0	22	2	0	33	23	24968628	4.932153e-04	2.163495e-01
UGGT2	175188	834	34	10659168	1700316	0	19	4	0	20	6	15422418	5.277772e-04	2.262485e-01
KLHL32	123818	1288	-2	4199544	801540	0	15	2	0	9	3	7409646	6.017600e-04	2.492607e-01
TAOK3	635780	823	26	6366330	921114	0	8	1	0	42	6	31430880	6.078885e-04	2.492607e-01
CNR1	172187	799	37	3095784	643860	0	8	1	0	50	16	37609308	6.572387e-04	2.637625e-01
CPLX3	764533	195	46	1080108	199728	0	24	2	0	4	11	2407248	7.142061e-04	2.788627e-01
CDH18	4731	1195	-17	5347980	993384	0	22	3	0	40	54	30063006	7.254433e-04	2.788627e-01
ENAM	262250	609	16	7689528	1405980	0	13	1	0	5	1	9833976	7.392183e-04	2.788627e-01
MMEL1	323457	335	30	5387400	1009152	0	19	2	0	35	29	23118516	7.932591e-04	2.882473e-01
CRISP3	67784	1246	-2	1754190	258858	0	8	1	0	18	5	11552688	7.946589e-04	2.882473e-01
PHKB	320760	885	-3	7931304	1424376	0	19	1	0	6	1	5671224	8.668929e-04	3.085157e-01
ZNF518B	218121	1074	15	7152102	1323198	0	10	2	0	50	6	31910490	1.083609e-03	3.785006e-01
GPR26	208204	808	17	2131308	559764	0	9	0	0	30	12	18732384	1.200383e-03	4.116660e-01
LRRC66	91954	815	7	5867010	1115586	0	15	2	0	11	6	10000854	1.310728e-03	4.414814e-01
CSTA	534078	602	44	688536	113004	0	7	0	0	50	125	41553936	1.361219e-03	4.504441e-01
B3GALTL	183118	606	27	3499182	582102	0	12	1	0	24	26	21018744	1.772400e-03	5.763968e-01
SP4	105280	643	26	5075982	1165518	0	14	2	0	38	21	32227164	1.901504e-03	6.079012e-01
TET1	824682	168	41	14167548	2785680	0	23	2	0	8	2	8533116	2.021980e-03	6.356433e-01
VWA5A	177269	744	-11	5367690	1020978	0	16	0	0	4	0	3874986	2.062439e-03	6.377331e-01
VANGL1	71378	604	7	3461076	741096	0	12	0	0	18	19	21401118	2.244695e-03	6.800145e-01
MAGI1	74202	843	-10	10326726	2048526	0	30	5	0	23	22	19382814	2.271282e-03	6.800145e-01
CDKN2C	290894	417	2	1124784	228636	0	10	0	0	50	95	42456654	2.555626e-03	7.531908e-01
LCE2D	169158	818	24	739782	145854	0	5	0	0	50	52	36713160	2.934421e-03	8.515237e-01
SLC6A4	558157	298	25	4213998	886950	0	11	0	0	14	4	9515988	3.025005e-03	8.576915e-01
SAMSN1	157937	898	56	2625372	402084	0	8	1	0	50	14	29764728	3.046619e-03	8.576915e-01
SGPP1	321254	311	18	2815902	695106	0	11	1	0	50	52	45372420	3.187540e-03	8.841673e-01
RAD51AP2	135410	1311	2	8065332	1111644	0	18	3	0	13	3	7060122	3.704474e-03	1
SLC2A12	102277	359	16	4006386	907974	0	7	0	0	22	2	14318658	4.223433e-03	1
GPR63	130400	1336	-5	2719980	591300	0	5	2	0	40	8	28356120	4.255420e-03	1
PI3	842540	324	25	788400	165564	0	9	0	0	50	91	42762816	4.289672e-03	1
SLC26A7	79500	987	-11	4630536	883008	0	7	0	0	15	4	14969088	5.330244e-03	1
UBLCP1	126518	284	33	2264022	356094	0	7	0	0	50	25	35749998	5.396617e-03	1
BCL6	88374	374	24	4727772	930312	0	16	3	0	11	5	6995736	5.485733e-03	1
IRF1	713465	320	66	2275848	388944	0	12	1	0	36	42	24565230	5.537414e-03	1
RPRD1B	582740	137	45	2221974	419166	0	13	1	0	50	96	35613342	5.810004e-03	1
PLA2G7	141205	551	-1	3077388	522972	0	13	1	0	50	52	37518642	5.870511e-03	1
CWC22	35642	927	7	6382098	973674	0	11	0	0	17	6	13392288	6.190664e-03	1
HNRNPA2B1	915230	445	43	2475576	430992	0	11	1	0	30	36	19016208	6.691397e-03	1
ROBO3	175852	743	14	8975934	2242998	0	26	2	0	12	8	9663156	6.784698e-03	1
KLHL8	271051	327	43	4208742	771318	0	6	0	0	15	0	9778788	6.928171e-03	1
IRF8	407770	461	27	2892114	555822	0	12	1	0	6	3	5182416	8.494705e-03	1
RALYL	28254	1435	-22	2108970	379746	0	7	1	0	21	5	10981098	8.599891e-03	1
DOCK3	395621	756	25	14063742	2500542	0	30	2	0	8	7	10154592	8.870753e-03	1
YTHDC1	126481	485	0	5049702	858042	0	16	1	0	14	9	9409554	9.088832e-03	1
SLC27A6	39183	962	-10	4206114	776574	0	14	1	0	13	10	11835198	9.192996e-03	1
TACC3	867402	350	39	5621292	1148436	0	17	3	0	23	16	17353998	9.346321e-03	1
PRDM1	162338	278	44	5527998	1076166	0	26	3	0	50	77	35977320	9.530519e-03	1
C11orf40	190769	879	-1	1471680	275940	0	10	0	0	50	61	35922132	9.571654e-03	1
DARC	99569	785	14	2175984	567648	0	6	1	0	38	15	24826716	9.624713e-03	1
MCM9	116680	856	16	2670048	483552	0	8	1	0	43	23	26541486	9.726150e-03	1
GUCA2A	418399	579	24	779202	161622	0	6	1	0	11	13	8764380	9.879037e-03	1
EGR2	176901	852	32	2985408	796284	0	7	1	0	50	28	43088688	1.018183e-02	1
PARP8	76181	1215	14	5945850	1068282	0	8	1	0	50	8	37841886	1.020006e-02	1
SERPINA9	278548	858	13	2884230	595242	0	11	2	0	42	44	24737364	1.120543e-02	1
CISD3	NaN	NaN	NaN	843588	202356	0	10	0	0	50	216	74045214	1.134844e-02	1
KIF11	347309	312	20	7304526	1249614	0	13	0	0	7	4	8969364	1.138548e-02	1
POT1	34691	524	-16	4388760	775260	0	20	1	0	37	65	29534778	1.142715e-02	1
ROS1	168682	310	-18	16030800	2922336	0	37	4	0	21	24	20504970	1.148433e-02	1
CYB5D2	753798	357	30	1713456	407340	0	6	0	0	50	57	39783978	1.187263e-02	1
NCR2	338294	510	40	1804122	432306	0	11	1	0	18	23	10682820	1.309379e-02	1
MED28	271066	989	32	1216764	231264	0	4	0	0	50	13	37284750	1.318309e-02	1
COBLL1	76781	413	-4	7824870	1512414	0	23	3	0	33	39	26741214	1.323792e-02	1
C1orf158	141239	571	18	1323198	245718	0	5	0	0	50	35	32430834	1.331008e-02	1
SLC17A1	293308	635	30	3144402	671454	0	11	1	0	8	5	7849836	1.349251e-02	1
CLRN2	271399	912	37	1536066	332442	0	5	0	0	50	17	32078682	1.405996e-02	1
YARS2	302215	238	-4	3126006	689850	0	9	0	0	12	9	10429218	1.493516e-02	1
NSMCE2	328239	420	38	1759446	258858	0	6	1	0	28	21	20177784	1.508583e-02	1
KANK1	136434	548	16	8960166	1822518	0	13	1	0	27	7	17093826	1.526864e-02	1
DNMT3A	330147	286	43	6460938	1296918	0	22	2	0	9	6	6968142	1.538187e-02	1
LNX2	327769	583	60	4642362	900090	0	11	1	0	9	1	6635700	1.559188e-02	1
TRPS1	55597	711	-10	8698680	1563660	0	15	0	0	3	0	4156182	1.578573e-02	1
MEF2C	98604	1192	32	3524148	680652	0	6	1	0	50	9	37534410	1.593091e-02	1
TEDDM1	349818	783	5	1797552	362664	0	7	1	0	20	22	18470898	1.671498e-02	1
TMTC4	123356	622	28	5146938	1031490	0	17	2	0	15	19	14605110	1.676353e-02	1
FHDC1	227983	342	25	7441182	1688490	0	18	4	0	50	39	37146780	1.747224e-02	1
ATP2B1	235578	418	9	8585676	1655640	0	13	1	0	10	3	8382006	1.780886e-02	1
FGFR3	859388	222	42	5619978	1323198	0	53	8	0	5	21	5401854	1.851069e-02	1
TMEM39A	270591	599	29	3285000	654372	0	9	1	0	8	8	8045622	1.879762e-02	1
ZMYND12	571804	519	24	2553102	406026	0	9	0	0	6	0	3323106	1.901316e-02	1
HLA-A	983517	596	36	2433528	530856	0	15	1	0	50	69	34909038	1.912610e-02	1
C4orf19	124686	814	32	2110284	394200	0	6	0	0	50	25	42507900	1.958348e-02	1
CYP7B1	8894	1018	22	3453192	596556	0	6	0	0	50	18	39245238	1.967227e-02	1
TMPRSS11D	210733	767	22	2832984	570276	0	5	1	0	50	28	41513202	2.030297e-02	1
GRXCR1	32225	966	18	1957860	367920	0	5	0	0	50	31	38192724	2.057304e-02	1
SPAG16	38908	1199	-3	4433436	748980	0	12	1	0	50	38	34863048	2.071525e-02	1
CDK8	96507	578	22	3257406	540054	0	10	1	0	32	14	25781994	2.071909e-02	1
DNTT	780047	804	30	3517578	608382	0	4	0	0	25	4	23688792	2.117097e-02	1
ABCE1	189309	1139	32	4208742	708246	0	6	0	0	50	15	38075778	2.143785e-02	1
SQRDL	201356	490	1	3024828	625464	0	8	0	0	10	7	10218978	2.166269e-02	1
PDGFRA	51422	518	27	7489800	1335024	0	14	3	0	17	8	13121604	2.197024e-02	1
ESRRB	243524	616	39	3399318	697734	0	9	1	0	13	5	8680284	2.253528e-02	1
GLIS3	170537	983	-1	6065424	1379700	0	17	2	0	44	37	31851360	2.264118e-02	1
SRRM4	116468	835	2	4033980	917172	0	19	3	0	30	28	19008324	2.271323e-02	1
SELK	128709	552	39	668826	122202	0	3	0	0	50	44	30780450	2.276796e-02	1
TAPT1	165112	581	29	3896010	724014	0	13	0	0	40	44	35717148	2.326932e-02	1
ELTD1	74049	903	-17	4761936	833076	0	17	2	0	5	9	5689620	2.357788e-02	1
C16orf89	594046	302	6	3229812	675396	0	6	0	0	7	1	8032482	2.391330e-02	1
OVGP1	397926	461	18	4485996	977616	0	14	1	0	36	66	32759334	2.394393e-02	1
MT1A	653985	187	28	461214	53874	0	3	0	0	50	69	30517650	2.401836e-02	1
ANTXR2	62176	905	6	3422970	710874	0	10	0	0	25	18	20658708	2.417745e-02	1
TET2	188424	632	24	13682682	2437470	0	26	4	0	45	32	32386158	2.490477e-02	1
UBE2N	380369	364	15	1042002	195786	0	6	0	0	50	90	49549626	2.545666e-02	1
GTPBP10	138505	1085	-5	2684502	474354	0	7	1	0	50	41	33646284	2.553111e-02	1
GEN1	135007	1245	10	6325596	977616	0	7	1	0	50	12	41451444	2.567522e-02	1
LILRA3	730281	458	-8	2868462	674082	0	13	2	0	50	87	33843384	2.574586e-02	1
ADARB2	284080	633	8	4717260	1211508	0	19	5	0	12	7	8180964	2.612938e-02	1
PLCL1	627125	907	10	7359714	1333710	0	13	1	0	50	36	39471246	2.644153e-02	1
FBXL3	218827	551	34	2910510	511146	0	7	0	0	12	5	8794602	2.661466e-02	1
RBMS3	30243	808	-11	3128634	589986	0	9	0	0	27	33	27286524	2.673708e-02	1
UBE3A	241743	1263	-34	6115356	969732	0	14	1	0	8	6	8950968	2.790867e-02	1
CPS1	158852	465	-1	10262340	2023560	0	18	3	0	14	9	12761568	2.792336e-02	1
LPL	203407	316	8	3262662	587358	0	13	0	0	24	33	18576018	2.822636e-02	1
CNDP2	162468	969	7	3239010	629406	0	10	0	0	44	40	32057658	2.824525e-02	1
PDCD1	559742	487	29	1861938	463842	0	11	0	0	12	34	13377834	2.839600e-02	1
ECH1	1989663	219	30	2220660	473040	0	10	2	0	50	87	42172830	2.890853e-02	1
PRSS55	78691	633	3	2345490	490122	0	9	1	0	49	41	32077368	2.890936e-02	1
C9orf152	203263	245	32	1571544	331128	0	4	0	0	50	22	33154848	2.908570e-02	1
IGJ	262444	609	19	1102446	190530	0	5	0	0	50	47	38597436	2.941543e-02	1
EPB42	834640	330	43	4807926	1015722	0	17	2	0	50	82	42530238	2.961923e-02	1
CKMT2	182569	777	30	2810646	595242	0	6	0	0	50	32	40703778	2.981107e-02	1
HIST4H4	340728	578	-4	645174	185274	0	7	2	0	10	26	5931396	2.983040e-02	1
GXYLT2	144572	420	14	2955186	608382	0	9	0	0	16	12	11062566	3.019304e-02	1
PSMC5	1446139	380	27	2779110	555822	0	13	1	0	50	74	35773650	3.029992e-02	1
HHIP	143634	1116	-6	4803984	848844	0	11	2	0	28	15	19636416	3.037497e-02	1
COL4A3	253951	211	10	11021832	2882916	0	22	9	0	24	15	16442082	3.093823e-02	1
JAM3	270247	601	6	2375712	520344	0	10	1	0	15	7	9508104	3.100746e-02	1
SUDS3	635715	823	32	2350746	358722	0	4	0	0	50	16	39756384	3.117751e-02	1
BMP3	10953	1083	4	3116808	633348	0	7	1	0	14	4	10070496	3.121879e-02	1
CREB1	184506	198	25	2282418	498006	0	4	0	0	50	21	36248004	3.138906e-02	1
ZC3H13	576966	679	49	10569816	1936836	0	18	1	0	10	1	7644852	3.202704e-02	1
GMPR	117199	561	26	2323152	488808	0	6	1	0	49	18	35953668	3.202945e-02	1
C8orf86	840384	454	46	1451970	340326	0	7	1	0	4	1	3078702	3.272321e-02	1
TPT1	680643	296	78	1244358	177390	0	6	0	0	50	79	40569750	3.297010e-02	1
DHX15	194657	491	35	5390028	1022292	0	13	2	0	50	34	37732824	3.300395e-02	1
VCP	782447	350	42	5424192	1106388	0	15	2	0	25	29	23700618	3.314292e-02	1
IDO2	11054	414	0	2871090	553194	0	10	0	0	4	2	3239010	3.343788e-02	1
OR51S1	66543	987	-3	2026188	525600	0	8	1	0	50	61	32002470	3.365088e-02	1
HEPN1	175852	743	14	588672	113004	0	3	0	0	50	76	43310754	3.424766e-02	1
WTAP	643775	604	19	2755458	453330	0	10	0	0	34	41	26241894	3.453181e-02	1
ZNF827	110708	1103	30	7249338	1391526	0	12	3	0	13	3	10460754	3.492032e-02	1
BLNK	817052	804	34	3170682	600498	0	4	1	0	50	8	40053348	3.559416e-02	1
ECE1	744763	196	27	5576616	1082736	0	9	1	0	7	1	8383320	3.698976e-02	1
TREML4	249047	607	38	1348164	289080	0	6	0	0	50	34	30710808	3.704321e-02	1
TBX3	32369	548	-30	4805298	1133982	0	14	4	0	11	6	7761798	3.715615e-02	1
DCAF16	271201	1073	21	1412550	298278	0	3	0	0	50	9	38688102	3.717863e-02	1
CEACAM4	1249321	499	27	1597824	396828	0	9	1	0	25	71	28178730	3.725239e-02	1
BNC2	37330	534	-14	7329492	1405980	0	21	4	0	8	8	7280874	3.728354e-02	1
HMX3	237830	708	23	2228544	601812	0	10	2	0	5	6	6424146	3.761497e-02	1
LNPEP	393651	469	46	7011504	1256184	0	14	0	0	11	3	8215128	3.777645e-02	1
FAM83F	712106	370	28	3244266	752922	0	10	1	0	18	17	16916436	3.781608e-02	1
C15orf60	294157	472	16	1798866	374490	0	8	1	0	50	75	38374056	3.782091e-02	1
SSR3	545591	679	10	1274580	239148	0	5	0	0	21	18	16360614	3.825526e-02	1
SHQ1	140728	510	21	3970908	691164	0	5	1	0	46	11	34341390	3.893553e-02	1
GPX6	255783	592	26	1534752	262800	0	6	0	0	50	86	46313244	3.937632e-02	1
C8orf4	10573	360	3	718758	130086	0	2	0	0	50	27	37412208	4.007772e-02	1
DHX29	280901	417	31	9438462	1635930	0	12	0	0	5	0	4920930	4.082305e-02	1
C4orf40	181352	975	12	1381014	395514	0	5	0	0	50	37	33074694	4.120190e-02	1
PRRG2	2080142	210	41	1348164	315360	0	6	0	0	50	88	42243786	4.301155e-02	1
DBR1	190056	464	9	3744900	625464	0	9	0	0	27	20	18376290	4.307274e-02	1
TMEM33	272281	261	25	1699002	319302	0	4	1	0	37	30	28885662	4.434487e-02	1
FCN2	229567	450	26	2112912	441504	0	8	1	0	50	40	30533418	4.449314e-02	1
BCL2A1	234803	702	28	1328454	227322	0	5	0	0	50	55	40330602	4.460593e-02	1
PACRGL	42454	1252	22	1526868	296964	0	2	0	0	50	6	38653938	4.467210e-02	1
ARRDC3	51436	334	5	2818530	526914	0	6	1	0	50	23	35299296	4.474977e-02	1
NDUFB1	356163	415	27	722700	144540	0	4	0	0	50	77	45953208	4.508715e-02	1
OR2B6	225015	562	24	2001222	469098	0	6	1	0	50	58	39396348	4.549608e-02	1
SLMO2	948552	126	25	1320570	269370	0	6	0	0	46	89	38430558	4.550268e-02	1
CATSPER3	725156	226	27	2772540	457272	0	11	2	0	7	4	3902580	4.555383e-02	1
CCL20	161901	296	7	691164	110376	0	3	0	0	50	38	33714612	4.730145e-02	1
SPRY1	98850	613	21	2147076	386316	0	4	0	0	50	34	39973194	4.761244e-02	1
MCEE	355097	470	40	1166832	260172	0	5	0	0	50	68	36434592	4.865007e-02	1
ZC3H15	269890	299	10	3052422	408654	0	7	1	0	50	41	32505732	4.911861e-02	1
ARL13B	85478	1310	-13	2994606	492750	0	5	0	0	48	35	43921764	4.924800e-02	1
REG3A	10958	1389	-22	1218078	232578	0	6	1	0	21	25	13270086	4.942751e-02	1
OR5R1	NaN	NaN	NaN	2119482	437562	0	11	1	0	50	217	74280420	4.966293e-02	1
OR51A7	65798	1006	-15	2045898	416538	0	7	0	0	50	60	38581668	5.005660e-02	1
FUBP1	373296	256	1	4332258	957906	0	25	3	0	15	38	16030800	5.121171e-02	1
SLC34A2	218417	631	35	4599000	974988	0	12	2	0	33	19	18070128	5.147585e-02	1
SMTN	726734	202	32	6287490	1546578	0	11	0	0	3	0	4781646	5.238235e-02	1
AKAP8L	509601	481	30	4437378	810738	0	21	0	0	7	10	6902442	5.295851e-02	1
C7orf57	127890	364	24	2026188	388944	0	6	0	0	50	28	37221678	5.307442e-02	1
DHRS4L2	984811	442	23	1536066	374490	0	8	1	0	33	99	31207500	5.315438e-02	1
YIPF1	505734	319	24	2090574	424422	0	7	0	0	50	59	35881398	5.346249e-02	1
SLC35F4	175308	918	27	3474216	714816	0	5	0	0	11	0	7467462	5.361024e-02	1
CD109	706356	215	15	9899676	1836972	0	18	0	0	4	0	5149566	5.370085e-02	1
UQCR10	848649	195	37	530856	97236	0	4	0	0	50	67	36426708	5.390895e-02	1
ALDH8A1	152922	364	19	3249522	666198	0	10	2	0	9	4	5016852	5.416422e-02	1
YPEL5	141747	692	18	817308	165564	0	3	0	0	50	41	34047054	5.438759e-02	1
AADACL3	145424	454	23	2370456	444132	0	8	1	0	41	44	27661014	5.451385e-02	1
OR51G1	65798	1006	-15	2057724	475668	0	8	1	0	47	57	33637086	5.480175e-02	1
PGM1	135416	330	3	4471542	871182	0	16	4	0	20	14	11000808	5.498147e-02	1
CMYA5	263588	684	38	27051318	5167962	0	37	11	0	19	12	16649694	5.522419e-02	1
RP1L1	99570	456	15	15356718	3604302	0	38	10	0	22	18	16346160	5.527374e-02	1
PROS1	79315	1341	-10	4677840	806796	0	7	1	0	50	26	43895484	5.535738e-02	1
FGF18	300840	347	30	1403352	278568	0	6	0	0	31	30	22294638	5.577675e-02	1
SERPINB8	114875	671	26	2633256	415224	0	5	0	0	50	24	36074556	5.632578e-02	1
USP47	327690	317	17	9058716	1369188	0	16	1	0	22	14	21047652	5.658313e-02	1
MICB	2514366	220	34	2555730	524286	0	11	0	0	6	0	2080062	5.671863e-02	1
S100Z	246938	418	21	717444	102492	0	4	0	0	50	80	37410894	5.679949e-02	1
KCNQ3	163210	970	-6	5747436	1282464	0	12	2	0	35	25	24958116	5.720328e-02	1
PAN3	265548	616	57	5935338	1254870	0	9	0	0	7	0	5428134	5.785748e-02	1
TGFBR2	80018	417	-9	4032666	716130	0	9	0	0	10	3	6228360	5.790833e-02	1
FUT8	412062	875	38	4154868	735840	0	4	1	0	50	10	28194498	5.815211e-02	1
SYNPR	152983	976	-5	1985454	390258	0	7	0	0	50	40	34365042	5.823180e-02	1
TAGLN3	262689	336	14	1384956	233892	0	8	0	0	50	81	35679042	5.896632e-02	1
G6PC2	173915	724	7	2405934	448074	0	9	1	0	50	91	43572240	5.937823e-02	1
TMBIM6	1828526	265	67	2030130	398142	0	7	0	0	50	84	44326476	5.980099e-02	1
CRIP1	689089	298	41	579474	88038	0	3	0	0	50	78	39877272	5.983037e-02	1
VSNL1	135361	1255	-2	1353420	191844	0	3	0	0	50	17	31819824	6.007408e-02	1
CTXN3	284904	682	29	537426	119574	0	5	1	0	4	14	4497822	6.082246e-02	1
PON2	137217	333	-1	2421702	461214	0	8	1	0	50	66	48832182	6.161411e-02	1
CCND2	305146	860	35	1953918	374490	0	5	1	0	37	11	21579822	6.278291e-02	1
ERG	162262	418	4	3365154	632034	0	11	1	0	13	6	6250698	6.380381e-02	1
OR4S2	1295	1091	-20	2057724	402084	0	11	2	0	17	17	7462206	6.404774e-02	1
SLC26A3	511053	515	19	5182416	1059084	0	11	2	0	10	5	6986538	6.413493e-02	1
BAG3	731222	199	48	3652920	919800	0	13	0	0	13	8	6064110	6.446558e-02	1
C3orf67	146530	837	19	3907836	664884	0	10	1	0	49	51	40756338	6.448769e-02	1
PRTFDC1	164255	142	18	1613592	257544	0	3	0	0	50	18	37456884	6.468582e-02	1
TMEM200B	598249	235	19	1823832	614952	0	5	0	0	15	4	9936468	6.471277e-02	1
SLITRK3	26494	1315	-17	6392610	1328454	0	18	4	0	12	12	7194150	6.610155e-02	1
CCDC11	211344	300	35	3677886	461214	0	8	0	0	50	29	34114068	6.622271e-02	1
ACADL	190249	696	2	2942046	561078	0	9	0	0	17	20	14884992	6.702130e-02	1
UGT8	32108	966	2	3630582	695106	0	6	0	0	10	3	8510778	6.721589e-02	1
EFNB2	167697	1267	2	2258766	421794	0	3	0	0	50	13	31604328	6.728397e-02	1
IRF4	208360	631	48	3095784	551880	0	40	4	0	1	4	1030176	6.753635e-02	1
C5orf46	137041	470	2	620208	110376	0	3	0	0	50	61	32980086	6.760769e-02	1
HIST1H1E	398813	636	53	1392840	352152	0	52	5	0	0	5	352152	6.827151e-02	1
PAPSS2	379125	169	46	4186404	827820	0	13	4	0	10	6	5422878	6.947232e-02	1
KIAA0040	NaN	NaN	NaN	680652	107748	0	4	0	0	50	216	73950606	6.961199e-02	1
RAB2A	234041	512	24	1499274	253602	0	5	0	0	50	43	37324170	6.975615e-02	1
C6orf47	2517236	193	20	1839600	486180	0	5	0	0	8	2	5413680	7.002372e-02	1
CCR6	149346	696	40	2491344	486180	0	6	1	0	50	38	38659194	7.036413e-02	1
RUNX1T1	5155	1075	-30	4082598	821250	0	12	1	0	12	14	10108602	7.074787e-02	1
MTPAP	91344	331	12	3959082	726642	0	7	0	0	50	25	38851038	7.088716e-02	1
NTN3	2085452	321	49	3631896	1006524	0	13	2	0	50	84	40823352	7.291271e-02	1
TPM1	431470	321	19	3211416	473040	0	11	1	0	50	56	35484570	7.331747e-02	1
ODAM	181352	975	12	1942092	375804	0	5	1	0	50	37	33074694	7.418428e-02	1
HSPE1	681973	428	29	692478	151110	0	4	0	0	50	86	35347914	7.429205e-02	1
DEFB127	215351	430	25	679338	119574	0	3	0	0	50	57	31275828	7.460181e-02	1
CYP2A13	1004808	354	10	3340188	651744	0	15	1	0	12	8	6556860	7.463845e-02	1
LCE5A	325831	700	20	789714	158994	0	3	0	0	50	64	50574546	7.502900e-02	1
RTTN	64673	504	37	15220062	2847438	0	24	2	0	11	7	10597410	7.519502e-02	1
DBX2	126551	805	-18	2177298	534798	0	10	2	0	5	4	3625326	7.592967e-02	1
C9orf57	NaN	NaN	NaN	1140552	183960	0	6	1	0	19	43	14619564	7.614889e-02	1
ENOX1	99614	523	36	4455774	768690	0	12	1	0	50	45	37015380	7.645265e-02	1
C1QTNF2	197614	469	27	2101086	534798	0	6	0	0	45	34	29553174	7.714406e-02	1
FCRL5	234921	764	25	6408378	1470366	0	8	0	0	27	9	21514122	7.744627e-02	1
TMCO1	321853	406	-2	1294290	258858	0	6	1	0	6	3	4338828	7.869253e-02	1
SP140	504037	626	37	6466194	952650	0	32	2	0	26	56	19105560	8.042424e-02	1
SLC35A4	706371	319	29	1968372	593928	0	6	0	0	17	22	13648518	8.064366e-02	1
SP3	296444	376	27	5099634	1128726	0	18	2	0	9	13	8801172	8.068700e-02	1
